"","Symbol","Chr","Length","Description","Type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gpc1","Gpc1","chr1",3552,"glypican 1","protein-coding",-7.37695570864378,-0.245771929950981,-13.5834622627422,4.29836380548033e-07,3.280278947581e-05,6.86357154008637
"Igfbp7","Igfbp7","chr5",1213,"insulin-like growth factor binding protein 7","protein-coding",-5.33557256120824,-0.169071482116428,-13.6816811218271,4.05091788302961e-07,3.280278947581e-05,6.86346296342191
"Prkaa2","Prkaa2","chr4",8201,"protein kinase, AMP-activated, alpha 2 catalytic subunit","protein-coding",-9.19114722187408,-1.78002166092,-14.2430402911918,2.90788305029588e-07,2.91240642392967e-05,6.85625513647221
"Efemp2","Efemp2","chr19",1842,"epidermal growth factor-containing fibulin-like extracellular matrix protein 2","protein-coding",-7.2458557647734,-0.0631627903373928,-13.4886398402103,4.55329169013714e-07,3.3516308368094e-05,6.84471946377599
"Col6a1","Col6a1","chr10",3976,"collagen, type VI, alpha 1","protein-coding",-12.0902663114143,-0.384495494765017,-13.8661831609569,3.64163689081575e-07,3.17823449306342e-05,6.84347310032783
"Cabp4","Cabp4","chr19",1433,"calcium binding protein 4","protein-coding",-5.27558384359109,0.714891635386434,-13.2403008369623,5.30435006688101e-07,3.5078475092857e-05,6.80501471252856
"Mmp2","Mmp2","chr8",3041,"matrix metallopeptidase 2","protein-coding",-10.1320800153118,-1.34422592972851,-13.9357409299378,3.48120248173033e-07,3.12644889717523e-05,6.7925483568346
"Ptms","Ptms","chr6",1155,"parathymosin","protein-coding",-6.48261501977722,1.99293563644252,-12.9744683134298,6.26446255755035e-07,3.90330867468379e-05,6.76768075825106
"Spp1","Spp1","chr5",1658,"secreted phosphoprotein 1","protein-coding",-10.3286283387741,1.53953729637481,-13.2421816063032,5.72293358276005e-07,3.68475166535708e-05,6.75502582660082
"Fkbp10","Fkbp10","chr11",2603,"FK506 binding protein 10","protein-coding",-7.33325364960879,-0.157220082652898,-13.320754117452,5.04692770712729e-07,3.46715193064187e-05,6.74413648505608
"Plat","Plat","chr8",2532,"plasminogen activator, tissue","protein-coding",-7.73752363324231,-2.72338972120163,-14.6772703871851,2.2686521970371e-07,2.55418926852386e-05,6.73991431699509
"Zyx","Zyx","chr6",2438,"zyxin","protein-coding",-8.39632882828367,0.146718104481567,-13.2491315934244,5.27539374957577e-07,3.5078475092857e-05,6.73459464839327
"Rhoc","Rhoc","chr3",1056,"ras homolog family member C","protein-coding",-6.29537353867124,-0.183994906910387,-13.3284349365167,5.02308721563369e-07,3.46715193064187e-05,6.73034958879369
"Vcam1","Vcam1","chr3",3398,"vascular cell adhesion molecule 1","protein-coding",-7.74853224715185,-1.56253099149944,-13.862382385431,3.63597805104689e-07,3.17823449306342e-05,6.71696408278141
"Adam23","Adam23","chr1",6879,"a disintegrin and metallopeptidase domain 23","protein-coding",-8.53741474724066,-0.833424277401292,-13.4981744401762,4.52691278111433e-07,3.3516308368094e-05,6.71508032625013
"Ophn1","Ophn1","chrX",3932,"oligophrenin 1","protein-coding",-7.26205628414356,-3.10481237284217,-15.0234436239269,1.87036777452735e-07,2.32011400728297e-05,6.70891043730377
"Gamt","Gamt","chr10",944,"guanidinoacetate methyltransferase","protein-coding",-5.61468527265883,-0.571264853074358,-13.4826835206284,4.56985744910177e-07,3.3516308368094e-05,6.68599591373499
"Numbl","Numbl","chr7",2733,"numb-like","protein-coding",-3.09403272923734,2.06233086395252,-12.8378370604774,6.83198422384101e-07,3.99892894764304e-05,6.68404797005305
"Snx7","Snx7","chr3",2171,"sorting nexin 7","protein-coding",-8.09554058408971,-2.16477844877823,-14.0359722872356,3.28144212448813e-07,3.01825707246286e-05,6.64227384280338
"Smo","Smo","chr6",3977,"smoothened, frizzled class receptor","protein-coding",-9.29833727224215,-1.94757119497451,-13.80766664167,3.75640429755022e-07,3.18410251116506e-05,6.6402906507349
"Cish","Cish","chr9",2161,"cytokine inducible SH2-containing protein","protein-coding",-10.1652409668484,-1.47409813734011,-13.6459341150052,4.13909474963152e-07,3.280278947581e-05,6.63852531138813
"Macroh2a2","Macroh2a2","chr10",1910,"macroH2A.2 histone","protein-coding",-8.47043897084163,-2.68300056975924,-14.1240730451034,3.11634727208878e-07,2.96071327648366e-05,6.62418348117271
"Col3a1","Col3a1","chr1",5564,"collagen, type III, alpha 1","protein-coding",-9.1670246291106,0.719150662404303,-12.9408779267663,6.39896180480981e-07,3.90338062702502e-05,6.61040310362456
"Me1","Me1","chr9",3577,"malic enzyme 1, NADP(+)-dependent, cytosolic","protein-coding",-5.74021824750417,-1.01312791257517,-13.5432390711707,4.40451233705894e-07,3.30852285052077e-05,6.60250009161281
"Fam20a","Fam20a","chr11",2541,"FAM20A, golgi associated secretory pathway pseudokinase","protein-coding",-8.45025908238607,-3.07644770482348,-14.1672324704358,3.03885729363356e-07,2.95548100425927e-05,6.57782628286467
"Mgst2","Mgst2","chr3",589,"microsomal glutathione S-transferase 2","protein-coding",-9.60410965335736,-1.1083894074418,-13.3462463060564,4.9682827859589e-07,3.46715193064187e-05,6.57511718845273
"Cttn","Cttn","chr7",3223,"cortactin","protein-coding",-7.57592042082113,-0.0861266989691976,-12.9767295327836,6.25552192149611e-07,3.90330867468379e-05,6.57180585753583
"Fam13c","Fam13c","chr10",3510,"family with sequence similarity 13, member C","protein-coding",-8.36044735506874,-3.09871988876219,-14.1590504981799,3.05338132970106e-07,2.95548100425927e-05,6.55976847669677
"Itga5","Itga5","chr15",4367,"integrin alpha 5 (fibronectin receptor alpha)","protein-coding",-7.64692398813731,0.353270829187381,-12.8526958535745,6.76757849412714e-07,3.99539492774998e-05,6.55516106511744
"Anxa3","Anxa3","chr5",1597,"annexin A3","protein-coding",-7.15886341334744,-1.12606015300284,-13.3100295666709,5.08042633219898e-07,3.46931537563952e-05,6.55038843378527
"Slc4a3","Slc4a3","chr1",4441,"solute carrier family 4 (anion exchanger), member 3","protein-coding",-7.33240692999022,-3.34658912016562,-14.663954420618,2.28575476289762e-07,2.55418926852386e-05,6.54636928187969
"Paqr8","Paqr8","chr1",4420,"progestin and adipoQ receptor family member VIII","protein-coding",-7.16805395254979,-3.39292125256488,-14.7684983227429,2.1552402023468e-07,2.51572969652976e-05,6.53746408875778
"Fah","Fah","chr7",1585,"fumarylacetoacetate hydrolase","protein-coding",-7.90703073350497,-1.12786725042049,-13.225644141149,5.35280058026086e-07,3.5078475092857e-05,6.52805022097441
"Prkcq","Prkcq","chr2",3313,"protein kinase C, theta","protein-coding",-8.31657637366001,-1.33466182735483,-13.2956731501442,5.12565678130341e-07,3.48261333366851e-05,6.52393500817871
"Epb41l1","Epb41l1","chr2",6517,"erythrocyte membrane protein band 4.1 like 1","protein-coding",-8.25719696981101,-1.17762409158707,-13.2222236721947,5.36417826120516e-07,3.5078475092857e-05,6.51932756384026
"Evc2","Evc2","chr5",4111,"EvC ciliary complex subunit 2","protein-coding",-7.86576869975746,-3.22160248488791,-14.2870298361737,2.83476787812803e-07,2.89022841227141e-05,6.51876712152287
"Ptgfrn","Ptgfrn","chr3",5786,"prostaglandin F2 receptor negative regulator","protein-coding",-7.79915677202992,-2.70946450631738,-14.0499796850487,3.25455499395153e-07,3.01403000501497e-05,6.51242206338515
"Prrx2","Prrx2","chr2",1129,"paired related homeobox 2","protein-coding",-6.44353632257557,-1.66563808281315,-13.5779516546016,4.31273665663328e-07,3.280278947581e-05,6.48042499884813
"Npdc1","Npdc1","chr2",1473,"neural proliferation, differentiation and control 1","protein-coding",-7.31977447615028,-1.72849239318111,-13.4579670179342,4.63931871287802e-07,3.3516308368094e-05,6.47029775864046
"Myo3b","Myo3b","chr2",6256,"myosin IIIB","protein-coding",-8.41936084614578,-2.30922885154021,-13.6374461357965,4.1603441558931e-07,3.280278947581e-05,6.46865686190814
"Rbfox2","Rbfox2","chr15",7358,"RNA binding protein, fox-1 homolog (C. elegans) 2","protein-coding",-7.60390613857977,-0.682400938288661,-12.941856813189,6.39499714501772e-07,3.90338062702502e-05,6.46415483996493
"Ecm1","Ecm1","chr3",1899,"extracellular matrix protein 1","protein-coding",-2.69589334921601,2.58657616322249,-12.447293002426,8.79525731689758e-07,4.75682696727089e-05,6.4630457109258
"Medag","Medag","chr5",2876,"mesenteric estrogen dependent adipogenesis","protein-coding",-7.74228569640154,-1.11236611782021,-13.0771323974433,5.87247745993514e-07,3.76311695430252e-05,6.45520213987616
"Arpin","Arpin","chr7",2184,"actin-related protein 2/3 complex inhibitor","protein-coding",-7.1169079667694,-2.48878865029743,-13.9520513599414,3.44779435375695e-07,3.12644889717523e-05,6.43639031257405
"Pnp","Pnp","chr14",2941,"purine-nucleoside phosphorylase","protein-coding",-2.87606258136973,6.80980224163333,-12.5889328067267,8.01874045140897e-07,4.50395994824411e-05,6.43202376861248
"Col5a2","Col5a2","chr1",6615,"collagen, type V, alpha 2","protein-coding",-8.2422946560569,0.863112956341537,-12.5584737001903,8.17907034792343e-07,4.5248642010058e-05,6.42368938088903
"Sqor","Sqor","chr2",2102,"sulfide quinone oxidoreductase","protein-coding",-6.74885137712891,-2.70394570113586,-14.1039699996405,3.15318920060385e-07,2.96071327648366e-05,6.39133809029772
"Loxl1","Loxl1","chr9",3338,"lysyl oxidase-like 1","protein-coding",-7.5087939946526,-0.996383426545928,-12.9060534876152,6.54179971441326e-07,3.94873544368668e-05,6.38756111236895
"Mmp15","Mmp15","chr8",4279,"matrix metallopeptidase 15","protein-coding",-8.34441470526916,-1.92698217218222,-13.2735003377998,5.19639522873043e-07,3.5078475092857e-05,6.38239585889978
"Pdk4","Pdk4","chr6",3453,"pyruvate dehydrogenase kinase, isoenzyme 4","protein-coding",-8.53237087448724,-3.05664414604941,-13.6157371603282,4.21524587626936e-07,3.280278947581e-05,6.3675081434339
"Gm2423","Gm2423","chr13",960,"predicted gene 2423","protein-coding",4.39407701203882,6.78214079115164,12.295692434592,9.72019001425063e-07,5.01737150220351e-05,6.36552393005702
"Efemp1","Efemp1","chr11",2036,"epidermal growth factor-containing fibulin-like extracellular matrix protein 1","protein-coding",-6.16226090601754,-0.249527273369417,-12.6412903716957,7.75123747222091e-07,4.38512476409619e-05,6.34986394099082
"Wwtr1","Wwtr1","chr3",4784,"WW domain containing transcription regulator 1","protein-coding",-6.64078804797412,-1.6762971588614,-13.2550629754409,5.25604322400243e-07,3.5078475092857e-05,6.34841657069345
"Ccn5","Ccn5","chr2",1774,"cellular communication network factor 5","protein-coding",-8.51180800840285,-0.682711262886468,-12.7233673315579,7.35162100344919e-07,4.23206967075779e-05,6.34559557792505
"Aldh3a1","Aldh3a1","chr11",1729,"aldehyde dehydrogenase family 3, subfamily A1","protein-coding",-7.74874316589949,-2.21095096085975,-13.3930353911723,4.82745567736055e-07,3.43612691098564e-05,6.33423589694092
"Fam149a","Fam149a","chr8",5479,"family with sequence similarity 149, member A","protein-coding",-7.64587985443612,-2.74711023795361,-13.621671442714,4.20015857684348e-07,3.280278947581e-05,6.31508962621324
"Tmem154","Tmem154","chr3",3342,"transmembrane protein 154","protein-coding",-8.97922986767187,-2.15758348885189,-13.150078361321,5.6105339285446e-07,3.62966647118907e-05,6.30984363967668
"Fcgrt","Fcgrt","chr7",1738,"Fc fragment of IgG receptor and transporter","protein-coding",-8.61507309015194,-2.38400344599104,-13.2433048223084,5.29448012800423e-07,3.5078475092857e-05,6.30051384217992
"Gsta4","Gsta4","chr9",958,"glutathione S-transferase, alpha 4","protein-coding",-7.3140768762615,-2.82717075089669,-13.7028239429009,3.99974919394952e-07,3.280278947581e-05,6.29197593583884
"Copz2","Copz2","chr11",930,"coatomer protein complex, subunit zeta 2","protein-coding",-8.2202652188566,-2.21670580176514,-13.2203729426312,5.37034564323748e-07,3.5078475092857e-05,6.28649393803952
"P4ha3","P4ha3","chr7",2361,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III","protein-coding",-7.54552867200803,-2.91309096573535,-13.6247506373277,4.19235370941325e-07,3.280278947581e-05,6.27507501904509
"Rpl10","Rpl10","chrX",795,"ribosomal protein L10","protein-coding",2.86506958031519,7.58557120036459,12.2609490922974,9.9470697219426e-07,5.01737150220351e-05,6.25508042487692
"Gjc2","Gjc2","chr11",2254,"gap junction protein, gamma 2","protein-coding",-9.6519056008527,-2.51276801030771,-13.0142341970222,6.10928145072288e-07,3.85998105117869e-05,6.251555558656
"Ubb","Ubb","chr11",1165,"ubiquitin B","protein-coding",1.73271582976586,8.74741149829715,12.3255936027971,9.52952697578668e-07,5.00931459627357e-05,6.24885027717345
"Hspb8","Hspb8","chr5",1812,"heat shock protein 8","protein-coding",-7.5248813534221,-2.40360212260821,-13.3274872840226,5.02602185284694e-07,3.46715193064187e-05,6.24183107838206
"Pgap4","Pgap4","chr4",2983,"post-GPI attachment to proteins GalNAc transferase 4","protein-coding",-7.24148191677164,-3.37520523886342,-13.8448171749399,3.67416368236098e-07,3.17823449306342e-05,6.22470380809135
"Capza1","Capza1","chr3",3187,"capping protein (actin filament) muscle Z-line, alpha 1","protein-coding",2.14601657499344,7.30985400222192,12.2284632561752,1.01645391009337e-06,5.02177807515527e-05,6.21922259855013
"Insyn1","Insyn1","chr9",2139,"inhibitory synaptic factor 1","protein-coding",-7.20832705064539,-3.11739676343296,-13.6595552126886,4.10524647690164e-07,3.280278947581e-05,6.20361489809838
"Rem1","Rem1","chr2",1603,"rad and gem related GTP binding protein 1","protein-coding",-7.11611161842866,-3.28210569051368,-13.7825447874967,3.81317645009106e-07,3.18994410843033e-05,6.20190907378552
"Larp4","Larp4","chr15",6738,"La ribonucleoprotein domain family, member 4","protein-coding",2.51151273864667,7.78499303608999,12.2113528864338,1.02812001549957e-06,5.03667055419189e-05,6.19785081305607
"Hnrnpa3","Hnrnpa3","chr2",5224,"heterogeneous nuclear ribonucleoprotein A3","protein-coding",2.0072348505779,8.63147539252321,12.2499267589243,1.00202716419118e-06,5.01737150220351e-05,6.19733596521199
"Gm19579","Gm19579","chr4",659,"predicted gene, 19579","ncRNA",4.78794368802665,4.57735554390193,12.5871717201004,8.0279147069509e-07,4.50395994824411e-05,6.19344064551805
"Cd109","Cd109","chr9",5867,"CD109 antigen","protein-coding",-7.60168149715346,-2.01931955042255,-12.9871499859385,6.21450332809394e-07,3.90330867468379e-05,6.19330632944177
"Col16a1","Col16a1","chr4",5206,"collagen, type XVI, alpha 1","protein-coding",-8.11201109282155,-1.89522335121766,-12.8604510370871,6.73423167979556e-07,3.99539492774998e-05,6.18709092772043
"Bfsp2","Bfsp2","chr9",1570,"beaded filament structural protein 2, phakinin","protein-coding",-8.75470365939531,2.0623701430931,-12.1365405574004,1.17486297473091e-06,5.53495549872354e-05,6.15598920463629
"Fkbp9","Fkbp9","chr6",3011,"FK506 binding protein 9","protein-coding",-8.10033500768585,-0.43210234155722,-12.3021779085549,9.67847865875711e-07,5.01737150220351e-05,6.15211928763289
"Nynrin","Nynrin","chr14",7413,"NYN domain and retroviral integrase containing","protein-coding",-8.05182953082272,-2.66491683186688,-13.0637977413451,5.92181577878361e-07,3.77683354457232e-05,6.1340054016153
"Shc2","Shc2","chr10",3961,"SHC (Src homology 2 domain containing) transforming protein 2","protein-coding",-7.05811030862865,-3.15537041155434,-13.5572150643645,4.36730298390089e-07,3.29889964499017e-05,6.13215892939305
"Gapdh","Gapdh","chr6",1232,"glyceraldehyde-3-phosphate dehydrogenase","protein-coding",4.34887090258985,7.51201690985563,11.9733590290106,1.20680408766032e-06,5.64608929732014e-05,6.13198324930595
"Cdc42ep5","Cdc42ep5","chr7",867,"CDC42 effector protein (Rho GTPase binding) 5","protein-coding",-6.68252477200622,-3.51230742050955,-13.9117593296855,3.53097891354108e-07,3.14094512434138e-05,6.11846897525539
"Rtp4","Rtp4","chr16",1573,"receptor transporter protein 4","protein-coding",-7.55751332022425,-3.28829639983402,-13.3926763000895,4.82851943707767e-07,3.43612691098564e-05,6.11796344572562
"Nmnat2","Nmnat2","chr1",4523,"nicotinamide nucleotide adenylyltransferase 2","protein-coding",-7.34527966530602,-3.35175873977341,-13.5053618706748,4.50713997393181e-07,3.3516308368094e-05,6.11306747501658
"Dlx4os","Dlx4os","chr11",1663,"distal-less homeobox 4, opposite strand","ncRNA",-6.66449362615997,-3.51724288293417,-13.8367172386223,3.69192248434737e-07,3.17823449306342e-05,6.0861550585545
"Septin5","Septin5","chr16",2127,"septin 5","protein-coding",-6.07375223791231,-0.909038811953334,-12.3946799787787,9.10468996145245e-07,4.82762795956073e-05,6.08294785351274
"Rxra","Rxra","chr2",5267,"retinoid X receptor alpha","protein-coding",-6.01899667238211,-1.17928266826991,-12.4936297898943,8.53239190638117e-07,4.63319160506746e-05,6.07005624381809
"Adamts12","Adamts12","chr15",6234,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12","protein-coding",-7.1127073426636,-3.4092599091606,-13.4667839808359,4.6144064554245e-07,3.3516308368094e-05,6.04913658848878
"Slc18b1","Slc18b1","chr10",2837,"solute carrier family 18, subfamily B, member 1","protein-coding",-7.91869868595595,-2.61540500787057,-12.877065001947,6.66340549887029e-07,3.98771211936647e-05,6.04343179831845
"Vill","Vill","chr9",2915,"villin-like","protein-coding",-9.09481277011495,-1.8574911584194,-12.5050431587547,8.46899223706299e-07,4.61730822731164e-05,6.04016670572634
"Timp3","Timp3","chr10",4681,"tissue inhibitor of metalloproteinase 3","protein-coding",-6.71766864407882,0.781575326752344,-11.9002577668495,1.26841803266734e-06,5.79401358773484e-05,6.03654963129217
"Aldh1l1","Aldh1l1","chr6",3084,"aldehyde dehydrogenase 1 family, member L1","protein-coding",-7.87373557262359,-2.68953150034064,-12.8766045734073,6.6653571405726e-07,3.98771211936647e-05,6.02815797061287
"Zfhx4","Zfhx4","chr3",13874,"zinc finger homeodomain 4","protein-coding",-8.04942258719643,-2.44394674757816,-12.7575750579813,7.19187388956383e-07,4.17344750475504e-05,6.02295530659879
